filename,space-empty,space-occupied
2013-01-16_20_35_17_jpg.rf.92fbd0ec1a1cb6ca985ba01ef2a41956.jpg,1,0
2012-12-12_19_35_16_jpg.rf.18545be57ee520fd855a1f91e0adced5.jpg,0,1
2013-03-13_11_40_06_jpg.rf.8662920dc68e18d98e56195b1e15669a.jpg,1,1
2013-03-02_15_00_10_jpg.rf.d18e04007a11a78cd05f07fb16ed7d4c.jpg,1,1
2013-03-10_17_35_13_jpg.rf.0e458413c4e90b2f80d1d5807d17da4e.jpg,1,0
2013-01-29_20_26_23_jpg.rf.fd3076ff070f0e8c1efb6ef62ce71de8.jpg,1,1
2012-11-10_10_52_50_jpg.rf.01bc9afa22f62d67ac45ea6f0299f644.jpg,1,1
2013-03-16_12_50_08_jpg.rf.4c6fca21a34dca7d2f9f1ec4e0bc05e3.jpg,1,1
2013-03-19_09_05_03_jpg.rf.134df1bd07ec5b81894c243549441215.jpg,1,1
2012-09-16_16_33_20_jpg.rf.bf03e1b0038cccdd78dfe63be25db434.jpg,1,1
2012-10-25_09_23_22_jpg.rf.38f350eedeb8908fa1aa4bedb8198ccf.jpg,1,1
2012-10-29_12_03_09_jpg.rf.5dbb48e9aa93387c286cff397644af65.jpg,1,1
2012-12-24_14_10_09_jpg.rf.0696f1470549b38baf5cf60b49909cc8.jpg,1,0
2013-03-15_16_35_12_jpg.rf.3af6eab34a615519485abcddbe715bd3.jpg,1,1
2012-09-13_17_45_35_jpg.rf.fa4fd8c67549c730feef5eea7e94383a.jpg,1,1
2012-10-12_09_52_40_jpg.rf.01348e2cc09798a57c91071e0c24f024.jpg,1,0
2013-03-18_12_00_07_jpg.rf.8aa23927057bb4839baa4225f4ac04f8.jpg,1,1
2012-11-06_19_03_47_jpg.rf.7feb233f7f619f6fcd30dd0195079fed.jpg,1,1
2012-12-21_18_30_15_jpg.rf.823ad3e87780ff3fb214468b44e23c8c.jpg,1,1
2012-11-09_10_36_43_jpg.rf.5c49155e49a25a752671dc0f6ac907b3.jpg,1,1
2012-09-20_07_09_16_jpg.rf.829f89a00b2fd4b9f0e5175156a7f819.jpg,1,1
2012-09-18_15_00_11_jpg.rf.d966ce53d817ae0b5d9be4d16cd72069.jpg,1,1
2013-03-16_08_50_03_jpg.rf.c3f7bf971afd7a1e76b6926df7ae5a2c.jpg,1,1
2013-03-12_06_15_00_jpg.rf.c76d881c2861ae04ac8008d0f45feb9a.jpg,1,0
2012-09-19_12_18_33_jpg.rf.89a40a2967e8a772f2271cc85e02b515.jpg,1,1
2012-12-22_11_00_06_jpg.rf.5762d26dee94ad6eb7dd42618408148c.jpg,1,1
2012-12-17_17_05_14_jpg.rf.15ee06052db030a9c24c28d6d86e706a.jpg,1,1
2013-01-22_15_35_11_jpg.rf.9325fae6b09bb05b0f82bdb5fa0b9c39.jpg,1,1
2013-03-20_10_40_05_jpg.rf.439afad33a21616cd0309fe005446d29.jpg,0,1
2012-09-28_07_16_00_jpg.rf.7cea7193a71b47f3d8433bf24a34732f.jpg,1,1
2012-09-17_17_44_20_jpg.rf.fe9993b620bf817a3ed795b7d9698e89.jpg,1,1
2013-02-24_12_25_06_jpg.rf.dc959873a4c208cf3a7abe0bf700ce81.jpg,1,0
2012-12-11_19_21_12_jpg.rf.c24418403796e879144aa4bf0f5afb6b.jpg,0,1
2012-11-09_18_47_06_jpg.rf.afb14f470a46114c11dd6da90be3d23a.jpg,1,1
2012-11-06_14_48_34_jpg.rf.510f19935b0484a53ac80668a409d833.jpg,1,1
2013-02-23_13_55_08_jpg.rf.84f76a934c4282376942bd3b23772494.jpg,1,1
2012-11-20_13_54_41_jpg.rf.6820d9e4f577b797c13a7a4624efac67.jpg,1,1
2013-03-17_13_30_08_jpg.rf.a3353d91cec01f6d589e9802e82ee5f6.jpg,1,0
2013-01-21_13_35_09_jpg.rf.e70ae38d1db1d33aae564bbf748908ac.jpg,1,1
2012-12-08_12_15_07_jpg.rf.b9b538db285a8498c7c9e5bd4bf846cf.jpg,1,1
2013-03-01_17_53_00_jpg.rf.f4493a54066bc52dd8f362b991ecdb11.jpg,1,1
2012-10-29_14_23_17_jpg.rf.470e88f69dbc28d755b3abdfd56c47a2.jpg,1,1
2012-09-20_16_34_40_jpg.rf.8b847fb12e2b73d8daa3de2fdbc681af.jpg,1,1
2012-10-12_14_17_51_jpg.rf.1274e95c990699aa89dcac06ccf9a5e4.jpg,1,0
2013-04-12_17_00_12_jpg.rf.5923663ed3b8855ad5a56994b754e70a.jpg,1,1
2012-12-19_17_55_14_jpg.rf.275c477cd273637b07ce015928c4c94b.jpg,1,1
2012-10-23_08_55_52_jpg.rf.a44a4bd052ef35ce6b2306cc4a68aef3.jpg,1,1
2012-09-18_15_45_13_jpg.rf.49f003f00ed80aa76d238f0d2c9c0ba6.jpg,1,1
2013-02-22_13_25_07_jpg.rf.7891cf7dc439f91d34309351231e2545.jpg,1,1
2013-01-19_20_10_16_jpg.rf.a19bb98f795c8ee7a12da9c9493748da.jpg,1,0
2012-09-15_13_52_18_jpg.rf.c75325aff075a4a0c675c8f496853286.jpg,1,1
2013-03-11_14_15_09_jpg.rf.d3e8b1a6768d135152ae2a2fd6a7c3d6.jpg,0,1
2013-03-12_13_45_09_jpg.rf.127e36b9e5831187c02c5d47fe080f5d.jpg,0,1
2013-03-06_15_35_11_jpg.rf.410d3f7a030bdb2249a0cbd37dcf6d1a.jpg,1,1
2013-03-13_12_35_07_jpg.rf.751ec294b5f1ca4d7c9704fc36b01e14.jpg,0,1
2012-12-20_20_50_16_jpg.rf.0f1cd0a8e170c2406a695e71c87d28b0.jpg,1,1
2013-04-09_14_55_10_jpg.rf.a59fc2d14f48980d981c0daf9059cfff.jpg,1,1
2012-12-18_20_05_17_jpg.rf.343daa0daed23a2cd126e88e9a20f0c7.jpg,1,1
2012-12-13_19_50_16_jpg.rf.7e06dbca9349cf77b82bf720367e6a39.jpg,1,1
2013-03-06_16_55_12_jpg.rf.deffb27160c38d58cb2fbe819b8704e9.jpg,1,1
2013-04-15_10_25_04_jpg.rf.151c76672ef967a8d07b2735d1250dfb.jpg,1,1
2013-04-09_08_30_03_jpg.rf.5c5174f0c6b5b45c0539841d64328ce3.jpg,1,1
2013-03-05_16_25_12_jpg.rf.745b62579a764b62a6154807fabf3704.jpg,0,1
2013-03-09_17_05_12_jpg.rf.0187021a981353454197660117ff9aea.jpg,1,1
2012-10-25_15_08_40_jpg.rf.dcaebbcc89b7aa43edbf2dc92c5c885e.jpg,1,1
2012-12-16_16_50_13_jpg.rf.875582fcddaa0f646d654f56fc53c048.jpg,1,1
2013-01-22_20_40_15_jpg.rf.376d9f72aa9dbc9c53ac809cef4288bb.jpg,1,1
2012-11-07_11_29_32_jpg.rf.c7fe844c356d6f9b2a0aa1e344e718c1.jpg,1,1
2013-04-10_06_40_00_jpg.rf.8418e13e03235e554d557dc64b90e45b.jpg,1,0
2013-04-15_15_10_10_jpg.rf.d5196fa19e2c595ce42e7e0d97cbaa58.jpg,1,1
2012-12-18_13_05_09_jpg.rf.ed6675134a7581a5fc17ba8083f8aad6.jpg,1,1
2012-10-29_11_18_07_jpg.rf.0e489642b27e048423753c85d27578d0.jpg,1,1
2012-10-29_18_23_30_jpg.rf.6d95c70b0020d2a30ca59f17c7007081.jpg,1,1
2012-12-15_14_10_10_jpg.rf.3fae62d63749b3a65a299fc41106c982.jpg,1,1
2013-03-06_14_05_09_jpg.rf.646341409cccea46ce44988ac8fe3219.jpg,1,1
2013-04-13_12_55_07_jpg.rf.fb3cb1b9a8487ac8c563c2ce196d82e3.jpg,1,1
2012-12-18_10_15_05_jpg.rf.bebc78741d86929096b43b5163762819.jpg,0,1
2012-09-14_13_36_22_jpg.rf.b4efdf9767d96568a04767ad5acfbcc4.jpg,1,1
2013-01-19_12_25_08_jpg.rf.9248b7197b42c7b62d1cb821c176f65c.jpg,1,0
2013-01-17_19_45_16_jpg.rf.bdf65731366a4ed5debe384c0cfa0d5e.jpg,1,1
2012-12-18_14_25_10_jpg.rf.455bf7d5887ac4071571647b1511f208.jpg,0,1
2013-02-23_10_20_04_jpg.rf.dfdf36ee3941b288ece01dcfedde238c.jpg,1,1
2013-03-21_08_05_02_jpg.rf.4b73fc85bca44dcd6b8670f5f704c5cb.jpg,1,1
2012-12-18_13_50_09_jpg.rf.82f79319791f7a6fc23775766797996b.jpg,0,1
2012-10-31_06_32_59_jpg.rf.842af39bbde4c0462686ddcaae0dfe91.jpg,1,1
2013-04-11_18_00_13_jpg.rf.62622597c6c54e4900b4656594fe1667.jpg,1,1
2012-09-19_13_33_36_jpg.rf.972850c965e072a371759a65e72686c0.jpg,1,1
2012-09-21_10_10_21_jpg.rf.839be8175205d40763580407970ab4e7.jpg,1,1
2012-09-20_12_04_29_jpg.rf.d355311bd17b5269e1e64ed0ffa8379e.jpg,1,1
2012-09-21_10_55_23_jpg.rf.8b32ef49fef6a2fa1fce7a76b036e1d5.jpg,1,1
2012-11-06_19_03_47_jpg.rf.7feb233f7f619f6fcd30dd0195079fed.jpg,1,1
2013-03-06_18_05_14_jpg.rf.0328cb5f59cc1e87dd97667f132b4e8f.jpg,1,1
2013-03-03_14_15_09_jpg.rf.6420f47bd5d9f76fce82a7d92d5884de.jpg,1,0
2012-11-09_13_21_51_jpg.rf.8b39f77147eb184bf54aa0e698a69cdc.jpg,1,1
2012-09-17_17_19_18_jpg.rf.6fbf1fb3a9027f9933569ede6c19d1a0.jpg,1,1
2013-03-21_07_00_01_jpg.rf.e11d8d8d47b5a639c4153fae4f7714c3.jpg,1,1
2012-11-09_12_16_48_jpg.rf.9b91629a29fdfb10f112b220a6ab5075.jpg,1,1
2013-03-18_14_40_10_jpg.rf.36945a9f34ad335fa60dc0b43d07e2bb.jpg,1,1
2013-03-05_06_50_01_jpg.rf.af4a535da5f23740d877adba4851f4e1.jpg,1,1
2012-11-11_12_29_02_jpg.rf.ec3761a6a74efc1fa9cffe49ef7eed0d.jpg,1,1
2013-03-22_10_25_05_jpg.rf.3968ce4c0ad9d01c5d30b7b33fe609df.jpg,1,1
